GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
06003,Alpine,California,CA,1912292607,2036,ssp585,High emissions (SSP585),projected,45.9,7.722222222222222,5.4077606201171875,-2.314461602105035,2632
06005,Amador,California,CA,1539967082,2036,ssp126,Low emissions (SSP126),projected,59.75833333333335,15.421296296296305,11.732136726379395,-3.68915956991691,3049
06005,Amador,California,CA,1539967082,2036,ssp245,Medium emissions (SSP245),projected,59.75833333333335,15.421296296296305,11.998619079589844,-3.422677216706461,3047
06005,Amador,California,CA,1539967082,2036,ssp585,High emissions (SSP585),projected,59.75833333333335,15.421296296296305,10.409721374511719,-5.011574921784586,3085
06007,Butte,California,CA,4238545149,2036,ssp126,Low emissions (SSP126),projected,62.03333333333333,16.685185185185183,13.196586608886719,-3.4885985762984646,3021
06007,Butte,California,CA,4238545149,2036,ssp245,Medium emissions (SSP245),projected,62.03333333333333,16.685185185185183,13.299400329589844,-3.3857848555953396,3042
06007,Butte,California,CA,4238545149,2036,ssp585,High emissions (SSP585),projected,62.03333333333333,16.685185185185183,12.324681282043457,-4.360503903141726,3064
06009,Calaveras,California,CA,2641829625,2036,ssp126,Low emissions (SSP126),projected,60.0,15.555555555555555,11.732136726379395,-3.823418829176161,3060
06009,Calaveras,California,CA,2641829625,2036,ssp245,Medium emissions (SSP245),projected,60.0,15.555555555555555,11.998619079589844,-3.5569364759657116,3060
06009,Calaveras,California,CA,2641829625,2036,ssp585,High emissions (SSP585),projected,60.0,15.555555555555555,10.409721374511719,-5.145834181043837,3087
06011,Colusa,California,CA,2980245451,2036,ssp126,Low emissions (SSP126),projected,62.80000000000001,17.111111111111118,13.196586608886719,-3.914524502224399,3069
06011,Colusa,California,CA,2980245451,2036,ssp245,Medium emissions (SSP245),projected,62.80000000000001,17.111111111111118,13.299400329589844,-3.811710781521274,3082
06011,Colusa,California,CA,2980245451,2036,ssp585,High emissions (SSP585),projected,62.80000000000001,17.111111111111118,12.324681282043457,-4.786429829067661,3075
06013,Contra Costa,California,CA,1856755871,2036,ssp126,Low emissions (SSP126),projected,60.800000000000004,16.000000000000004,15.344390869140625,-0.6556091308593786,642
06013,Contra Costa,California,CA,1856755871,2036,ssp245,Medium emissions (SSP245),projected,60.800000000000004,16.000000000000004,15.265113830566406,-0.7348861694335973,1402
06013,Contra Costa,California,CA,1856755871,2036,ssp585,High emissions (SSP585),projected,60.800000000000004,16.000000000000004,14.482258796691895,-1.517741203308109,1945
06015,Del Norte,California,CA,2606049835,2036,ssp126,Low emissions (SSP126),projected,53.824999999999996,12.124999999999996,12.698390007019043,0.5733900070190465,169
06015,Del Norte,California,CA,2606049835,2036,ssp245,Medium emissions (SSP245),projected,53.824999999999996,12.124999999999996,12.705284118652344,0.5802841186523473,494
06015,Del Norte,California,CA,2606049835,2036,ssp585,High emissions (SSP585),projected,53.824999999999996,12.124999999999996,12.04253101348877,-0.08246898651122692,632
06017,El Dorado,California,CA,4423288023,2036,ssp126,Low emissions (SSP126),projected,55.71666666666667,13.175925925925927,11.732136726379395,-1.4437891995465328,1400
06017,El Dorado,California,CA,4423288023,2036,ssp245,Medium emissions (SSP245),projected,55.71666666666667,13.175925925925927,11.998619079589844,-1.1773068463360836,1766
06017,El Dorado,California,CA,4423288023,2036,ssp585,High emissions (SSP585),projected,55.71666666666667,13.175925925925927,10.409721374511719,-2.7662045514142086,2831
06019,Fresno,California,CA,15432656110,2036,ssp126,Low emissions (SSP126),projected,57.31666666666667,14.064814814814817,13.443916320800781,-0.6208984940140354,623
