year,lat,lon,ssp245,ssp585,difference
2020,27.5,-123.125,0.099487305,0.4598999,0.3604126
2020,27.5,-121.87499999999997,0.20602417,0.5760498,0.37002563
2020,27.5,-120.625,0.23416138,0.6593933,0.42523193
2020,27.5,-119.37499999999997,0.28704834,0.71240234,0.425354
2020,27.5,-118.125,0.28652954,0.77145386,0.48492432
2020,27.5,-116.87499999999997,0.11553955,0.8067932,0.69125366
2020,27.5,-115.625,-0.010437012,0.9613037,0.9717407
2020,27.5,-114.375,0.42959595,1.23526,0.80566406
2020,27.5,-113.125,0.70095825,1.3398743,0.638916
2020,27.5,-111.875,0.38006592,1.117279,0.73721313
2020,27.5,-110.62500000000003,0.32147217,0.9970703,0.67559814
2020,27.5,-109.375,0.5654602,1.0655212,0.50006104
2020,27.5,-108.12500000000003,0.6079407,1.2996521,0.6917114
2020,27.5,-106.875,0.71432495,1.3051453,0.5908203
2020,27.5,-105.62499999999997,0.8256531,1.164154,0.33850098
2020,27.5,-104.375,0.98706055,1.2183228,0.2312622
2020,27.5,-103.125,0.90548706,1.1864929,0.28100586
2020,27.5,-101.875,1.1607056,1.3526917,0.19198608
2020,27.5,-100.625,1.0422058,1.6622925,0.62008667
2020,27.5,-99.375,0.6992798,1.913147,1.2138672
2020,27.5,-98.125,0.41241455,1.7562866,1.3438721
2020,27.5,-96.875,0.1487732,1.5098267,1.3610535
2020,27.5,-95.625,0.2194519,1.4212341,1.2017822
2020,27.5,-94.375,0.3703003,1.4547119,1.0844116
2020,27.5,-93.125,0.46939087,1.4503479,0.98095703
2020,27.5,-91.875,0.5299988,1.4330139,0.90301514
2020,27.5,-90.625,0.6001282,1.393219,0.7930908
2020,27.5,-89.375,0.6548767,1.2962952,0.64141846
2020,27.5,-88.125,0.67303467,1.2038574,0.53082275
2020,27.5,-86.875,0.6598511,1.1963196,0.5364685
2020,27.5,-85.625,0.65301514,1.2455444,0.5925293
2020,27.5,-84.375,0.6789856,1.2541809,0.5751953
2020,27.5,-83.125,0.677063,1.3147888,0.63772583
2020,27.5,-81.875,0.678833,1.5975647,0.9187317
2020,27.5,-80.625,0.74920654,1.4664001,0.7171936
2020,27.5,-79.375,0.68426514,1.0288696,0.3446045
2020,27.5,-78.125,0.64141846,0.914917,0.27349854
2020,27.5,-76.875,0.6413269,0.8807068,0.23937988
2020,27.5,-75.625,0.6401062,0.839386,0.19927979
2020,27.5,-74.375,0.6288452,0.82418823,0.19534302
2020,27.5,-73.125,0.58444214,0.79971313,0.215271
2020,27.5,-71.875,0.5520325,0.774353,0.22232056
2020,27.5,-70.625,0.5494385,0.7571411,0.20770264
2020,27.5,-69.375,0.5293579,0.7318115,0.20245361
2020,27.5,-68.125,0.48562622,0.7174988,0.23187256
2020,27.5,-66.875,0.47070312,0.7055359,0.23483276
2020,28.500000000000004,-124.37499999999997,-0.030426025,0.120269775,0.1506958
2020,28.500000000000004,-123.125,0.07461548,0.26516724,0.19055176
2020,28.500000000000004,-121.87499999999997,0.17529297,0.41760254,0.24230957
2020,28.500000000000004,-120.625,0.1819458,0.53204346,0.35009766
2020,28.500000000000004,-119.37499999999997,0.21777344,0.60266113,0.3848877
2020,28.500000000000004,-118.125,0.26229858,0.6993408,0.43704224
2020,28.500000000000004,-116.87499999999997,0.20800781,0.79919434,0.5911865
2020,28.500000000000004,-115.625,-0.023040771,0.97177124,0.994812
2020,28.500000000000004,-114.375,0.4126587,1.197937,0.7852783
2020,28.500000000000004,-113.125,0.49002075,1.1898804,0.6998596
2020,28.500000000000004,-111.875,0.41540527,1.2064209,0.7910156
2020,28.500000000000004,-110.62500000000003,0.82351685,1.2753601,0.45184326
2020,28.500000000000004,-109.375,0.8179321,1.2150574,0.39712524
2020,28.500000000000004,-108.12500000000003,0.6212158,1.4289856,0.8077698
2020,28.500000000000004,-106.875,0.6260376,1.3412781,0.7152405
2020,28.500000000000004,-105.62499999999997,0.80181885,1.0639954,0.2621765
2020,28.500000000000004,-104.375,0.9248657,1.0937805,0.1689148
2020,28.500000000000004,-103.125,1.0101318,1.1769714,0.1668396
2020,28.500000000000004,-101.875,1.331604,1.5204468,0.18884277
2020,28.500000000000004,-100.625,1.3734131,1.8363647,0.46295166
2020,28.500000000000004,-99.375,0.8887634,1.9691772,1.0804138
2020,28.500000000000004,-98.125,0.45205688,2.0240784,1.5720215
2020,28.500000000000004,-96.875,0.1524353,1.9467468,1.7943115
2020,28.500000000000004,-95.625,0.103271484,1.9540405,1.850769
2020,28.500000000000004,-94.375,0.30255127,1.9282532,1.6257019
2020,28.500000000000004,-93.125,0.46295166,1.8626099,1.3996582
2020,28.500000000000004,-91.875,0.5456238,1.8414001,1.2957764
2020,28.500000000000004,-90.625,0.63253784,1.7851257,1.1525879
2020,28.500000000000004,-89.375,0.6862793,1.6092224,0.9229431
2020,28.500000000000004,-88.125,0.71536255,1.4433594,0.7279968
2020,28.500000000000004,-86.875,0.72854614,1.3773804,0.6488342
2020,28.500000000000004,-85.625,0.72158813,1.4142761,0.692688
2020,28.500000000000004,-84.375,0.7182312,1.4487305,0.73049927
2020,28.500000000000004,-83.125,0.73773193,1.4619751,0.72424316
2020,28.500000000000004,-81.875,0.7980652,1.5757751,0.77770996
2020,28.500000000000004,-80.625,0.74884033,1.4130859,0.6642456
2020,28.500000000000004,-79.375,0.69314575,1.1078186,0.41467285
2020,28.500000000000004,-78.125,0.6833801,0.9988098,0.3154297
2020,28.500000000000004,-76.875,0.69259644,0.9644165,0.27182007
2020,28.500000000000004,-75.625,0.70022583,0.9230957,0.22286987
2020,28.500000000000004,-74.375,0.68203735,0.88946533,0.20742798
2020,28.500000000000004,-73.125,0.6421509,0.85043335,0.20828247
2020,28.500000000000004,-71.875,0.62490845,0.8170166,0.19210815
2020,28.500000000000004,-70.625,0.6359863,0.79382324,0.15783691
2020,28.500000000000004,-69.375,0.6191406,0.7544861,0.13534546
2020,28.500000000000004,-68.125,0.59854126,0.7284851,0.12994385
2020,28.500000000000004,-66.875,0.585968,0.70669556,0.12072754
2020,29.500000000000004,-124.37499999999997,0.011932373,0.07723999,0.06530762
2020,29.500000000000004,-123.125,0.12057495,0.20489502,0.08432007
2020,29.500000000000004,-121.87499999999997,0.22073364,0.34545898,0.12472534
2020,29.500000000000004,-120.625,0.19458008,0.46524048,0.2706604
2020,29.500000000000004,-119.37499999999997,0.1902771,0.5744629,0.3841858
2020,29.500000000000004,-118.125,0.23532104,0.7085571,0.47323608
2020,29.500000000000004,-116.87499999999997,0.23858643,0.842041,0.6034546
2020,29.500000000000004,-115.625,0.34555054,1.0837402,0.7381897
2020,29.500000000000004,-114.375,0.68481445,1.1921997,0.50738525
2020,29.500000000000004,-113.125,0.4237976,1.1089783,0.68518066
2020,29.500000000000004,-111.875,0.9677429,1.4671631,0.49942017
2020,29.500000000000004,-110.62500000000003,1.0943298,1.3326721,0.23834229
2020,29.500000000000004,-109.375,1.0852051,1.1881104,0.10290527
2020,29.500000000000004,-108.12500000000003,0.8989868,1.3465881,0.44760132
2020,29.500000000000004,-106.875,0.66018677,1.2617798,0.601593
2020,29.500000000000004,-105.62499999999997,0.7866821,1.0707397,0.28405762
2020,29.500000000000004,-104.375,0.8439026,1.1608276,0.31692505
2020,29.500000000000004,-103.125,1.0676575,1.3214722,0.2538147
2020,29.500000000000004,-101.875,1.4506836,1.5941772,0.14349365
2020,29.500000000000004,-100.625,1.4906921,1.9096069,0.4189148
2020,29.500000000000004,-99.375,1.08844,2.032898,0.944458
2020,29.500000000000004,-98.125,0.5588074,2.1319275,1.5731201
2020,29.500000000000004,-96.875,0.09915161,2.2754822,2.1763306
2020,29.500000000000004,-95.625,-0.08505249,2.3911133,2.4761658
2020,29.500000000000004,-94.375,0.12643433,2.4342346,2.3078003
2020,29.500000000000004,-93.125,0.32733154,2.3948975,2.067566
2020,29.500000000000004,-91.875,0.45654297,2.4744873,2.0179443
2020,29.500000000000004,-90.625,0.61816406,2.3210754,1.7029114
2020,29.500000000000004,-89.375,0.6887512,2.0139465,1.3251953
2020,29.500000000000004,-88.125,0.7084961,1.798523,1.0900269
2020,29.500000000000004,-86.875,0.74993896,1.6417236,0.89178467
2020,29.500000000000004,-85.625,0.7362671,1.6062927,0.87002563
2020,29.500000000000004,-84.375,0.7192383,1.6248474,0.90560913
2020,29.500000000000004,-83.125,0.7420044,1.7101746,0.96817017
2020,29.500000000000004,-81.875,0.8123779,1.6452942,0.83291626
2020,29.500000000000004,-80.625,0.7992554,1.5067139,0.7074585
2020,29.500000000000004,-79.375,0.70269775,1.2155151,0.5128174
2020,29.500000000000004,-78.125,0.7026367,1.0447083,0.34207153
2020,29.500000000000004,-76.875,0.68692017,0.9624634,0.2755432
2020,29.500000000000004,-75.625,0.6882019,0.91259766,0.22439575
2020,29.500000000000004,-74.375,0.71157837,0.919281,0.20770264
2020,29.500000000000004,-73.125,0.7151489,0.88345337,0.16830444
2020,29.500000000000004,-71.875,0.69137573,0.83444214,0.1430664
2020,29.500000000000004,-70.625,0.70269775,0.7937012,0.09100342
2020,29.500000000000004,-69.375,0.69052124,0.7582092,0.06768799
2020,29.500000000000004,-68.125,0.6795349,0.7256775,0.046142578
2020,29.500000000000004,-66.875,0.65563965,0.68188477,0.026245117
2020,30.5,-124.37499999999997,0.04647827,0.01272583,-0.03375244
2020,30.5,-123.125,0.1689148,0.20632935,0.03741455
2020,30.5,-121.87499999999997,0.20715332,0.36279297,0.15563965
2020,30.5,-120.625,0.12521362,0.44805908,0.32284546
2020,30.5,-119.37499999999997,0.12835693,0.57736206,0.44900513
2020,30.5,-118.125,0.22225952,0.7608948,0.53863525
2020,30.5,-116.87499999999997,0.33969116,0.9503784,0.61068726
2020,30.5,-115.625,0.78448486,1.3013,0.5168152
2020,30.5,-114.375,0.63290405,1.2413635,0.6084595
2020,30.5,-113.125,0.61026,1.3066711,0.69641113
2020,30.5,-111.875,1.1182251,1.624939,0.50671387
2020,30.5,-110.62500000000003,0.97262573,1.3756409,0.40301514
2020,30.5,-109.375,0.9825134,1.2197571,0.23724365
2020,30.5,-108.12500000000003,0.96240234,1.2533264,0.29092407
2020,30.5,-106.875,0.80407715,1.228363,0.4242859
2020,30.5,-105.62499999999997,0.77301025,1.1465149,0.37350464
2020,30.5,-104.375,0.75701904,1.2967224,0.53970337
2020,30.5,-103.125,0.9160156,1.3512878,0.43527222
2020,30.5,-101.875,1.2238464,1.453125,0.22927856
2020,30.5,-100.625,1.362793,1.6190796,0.25628662
2020,30.5,-99.375,1.099823,1.8301086,0.73028564
2020,30.5,-98.125,0.6711731,2.1651611,1.493988
2020,30.5,-96.875,0.16369629,2.3737488,2.2100525
2020,30.5,-95.625,-0.18829346,2.4992065,2.6875
2020,30.5,-94.375,-0.08621216,2.6964111,2.7826233
2020,30.5,-93.125,0.1694336,2.827942,2.6585083
2020,30.5,-91.875,0.36990356,2.6749573,2.3050537
2020,30.5,-90.625,0.53881836,2.5171814,1.978363
2020,30.5,-89.375,0.5336914,2.4859314,1.95224
2020,30.5,-88.125,0.6592102,2.01651,1.3572998
2020,30.5,-86.875,0.73379517,1.7842712,1.0504761
2020,30.5,-85.625,0.75408936,1.6694336,0.91534424
2020,30.5,-84.375,0.66223145,1.7572021,1.0949707
2020,30.5,-83.125,0.6657715,2.089569,1.4237976
2020,30.5,-81.875,0.69311523,1.8616943,1.1685791
2020,30.5,-80.625,0.81448364,1.7228088,0.9083252
2020,30.5,-79.375,0.70599365,1.3670654,0.6610718
2020,30.5,-78.125,0.6854553,1.1703796,0.48492432
2020,30.5,-76.875,0.6696167,1.0330505,0.36343384
2020,30.5,-75.625,0.6569214,0.90930176,0.25238037
2020,30.5,-74.375,0.6444702,0.8630066,0.21853638
2020,30.5,-73.125,0.69143677,0.87323,0.18179321
2020,30.5,-71.875,0.7246704,0.84213257,0.11746216
2020,30.5,-70.625,0.7394409,0.772583,0.03314209
2020,30.5,-69.375,0.7383423,0.7121887,-0.026153564
2020,30.5,-68.125,0.72006226,0.6775818,-0.04248047
2020,30.5,-66.875,0.6899719,0.63842773,-0.05154419
2020,31.5,-124.37499999999997,0.02319336,-0.06707764,-0.090270996
2020,31.5,-123.125,0.13082886,0.22738647,0.09655762
2020,31.5,-121.87499999999997,0.16342163,0.47573853,0.3123169
2020,31.5,-120.625,0.11468506,0.6246948,0.51000977
2020,31.5,-119.37499999999997,0.1423645,0.7376404,0.5952759
2020,31.5,-118.125,0.23519897,0.82284546,0.5876465
2020,31.5,-116.87499999999997,0.41549683,1.0601501,0.6446533
2020,31.5,-115.625,0.73132324,1.4418945,0.7105713
2020,31.5,-114.375,0.49569702,1.3797913,0.88409424
2020,31.5,-113.125,0.8303833,1.4182129,0.5878296
