year,scenario,lat,lon,temp_anomaly
2020,ssp245,28.500000000000004,-116.87499999999997,0.20800781
2020,ssp245,28.500000000000004,-115.625,-0.023040771
2020,ssp245,28.500000000000004,-114.375,0.4126587
2020,ssp245,28.500000000000004,-113.125,0.49002075
2020,ssp245,28.500000000000004,-111.875,0.41540527
2020,ssp245,28.500000000000004,-110.62500000000003,0.82351685
2020,ssp245,28.500000000000004,-109.375,0.8179321
2020,ssp245,28.500000000000004,-108.12500000000003,0.6212158
2020,ssp245,28.500000000000004,-106.875,0.6260376
2020,ssp245,28.500000000000004,-105.62499999999997,0.80181885
2020,ssp245,28.500000000000004,-104.375,0.9248657
2020,ssp245,28.500000000000004,-103.125,1.0101318
2020,ssp245,28.500000000000004,-101.875,1.331604
2020,ssp245,28.500000000000004,-100.625,1.3734131
2020,ssp245,28.500000000000004,-99.375,0.8887634
2020,ssp245,28.500000000000004,-98.125,0.45205688
2020,ssp245,28.500000000000004,-96.875,0.1524353
2020,ssp245,28.500000000000004,-95.625,0.103271484
2020,ssp245,28.500000000000004,-94.375,0.30255127
2020,ssp245,28.500000000000004,-93.125,0.46295166
2020,ssp245,28.500000000000004,-91.875,0.5456238
2020,ssp245,28.500000000000004,-90.625,0.63253784
2020,ssp245,28.500000000000004,-89.375,0.6862793
2020,ssp245,28.500000000000004,-88.125,0.71536255
2020,ssp245,28.500000000000004,-86.875,0.72854614
2020,ssp245,28.500000000000004,-85.625,0.72158813
2020,ssp245,28.500000000000004,-84.375,0.7182312
2020,ssp245,28.500000000000004,-83.125,0.73773193
2020,ssp245,28.500000000000004,-81.875,0.7980652
2020,ssp245,28.500000000000004,-80.625,0.74884033
2020,ssp245,28.500000000000004,-79.375,0.69314575
2020,ssp245,28.500000000000004,-78.125,0.6833801
2020,ssp245,28.500000000000004,-76.875,0.69259644
2020,ssp245,28.500000000000004,-75.625,0.70022583
2020,ssp245,28.500000000000004,-74.375,0.68203735
2020,ssp245,28.500000000000004,-73.125,0.6421509
2020,ssp245,28.500000000000004,-71.875,0.62490845
2020,ssp245,28.500000000000004,-70.625,0.6359863
2020,ssp245,28.500000000000004,-69.375,0.6191406
2020,ssp245,28.500000000000004,-68.125,0.59854126
2020,ssp245,28.500000000000004,-66.875,0.585968
2020,ssp245,29.500000000000004,-124.37499999999997,0.011932373
2020,ssp245,29.500000000000004,-123.125,0.12057495
2020,ssp245,29.500000000000004,-121.87499999999997,0.22073364
2020,ssp245,29.500000000000004,-120.625,0.19458008
2020,ssp245,29.500000000000004,-119.37499999999997,0.1902771
2020,ssp245,29.500000000000004,-118.125,0.23532104
2020,ssp245,29.500000000000004,-116.87499999999997,0.23858643
2020,ssp245,29.500000000000004,-115.625,0.34555054
2020,ssp245,29.500000000000004,-114.375,0.68481445
2020,ssp245,29.500000000000004,-113.125,0.4237976
2020,ssp245,29.500000000000004,-111.875,0.9677429
2020,ssp245,29.500000000000004,-110.62500000000003,1.0943298
2020,ssp245,29.500000000000004,-109.375,1.0852051
2020,ssp245,29.500000000000004,-108.12500000000003,0.8989868
2020,ssp245,29.500000000000004,-106.875,0.66018677
2020,ssp245,29.500000000000004,-105.62499999999997,0.7866821
2020,ssp245,29.500000000000004,-104.375,0.8439026
2020,ssp245,29.500000000000004,-103.125,1.0676575
2020,ssp245,29.500000000000004,-101.875,1.4506836
2020,ssp245,29.500000000000004,-100.625,1.4906921
2020,ssp245,29.500000000000004,-99.375,1.08844
2020,ssp245,29.500000000000004,-98.125,0.5588074
2020,ssp245,29.500000000000004,-96.875,0.09915161
2020,ssp245,29.500000000000004,-95.625,-0.08505249
2020,ssp245,29.500000000000004,-94.375,0.12643433
2020,ssp245,29.500000000000004,-93.125,0.32733154
2020,ssp245,29.500000000000004,-91.875,0.45654297
2020,ssp245,29.500000000000004,-90.625,0.61816406
2020,ssp245,29.500000000000004,-89.375,0.6887512
2020,ssp245,29.500000000000004,-88.125,0.7084961
2020,ssp245,29.500000000000004,-86.875,0.74993896
2020,ssp245,29.500000000000004,-85.625,0.7362671
2020,ssp245,29.500000000000004,-84.375,0.7192383
2020,ssp245,29.500000000000004,-83.125,0.7420044
2020,ssp245,29.500000000000004,-81.875,0.8123779
2020,ssp245,29.500000000000004,-80.625,0.7992554
2020,ssp245,29.500000000000004,-79.375,0.70269775
2020,ssp245,29.500000000000004,-78.125,0.7026367
2020,ssp245,29.500000000000004,-76.875,0.68692017
2020,ssp245,29.500000000000004,-75.625,0.6882019
2020,ssp245,29.500000000000004,-74.375,0.71157837
2020,ssp245,29.500000000000004,-73.125,0.7151489
2020,ssp245,29.500000000000004,-71.875,0.69137573
2020,ssp245,29.500000000000004,-70.625,0.70269775
2020,ssp245,29.500000000000004,-69.375,0.69052124
2020,ssp245,29.500000000000004,-68.125,0.6795349
2020,ssp245,29.500000000000004,-66.875,0.65563965
2020,ssp245,30.5,-124.37499999999997,0.04647827
2020,ssp245,30.5,-123.125,0.1689148
2020,ssp245,30.5,-121.87499999999997,0.20715332
2020,ssp245,30.5,-120.625,0.12521362
2020,ssp245,30.5,-119.37499999999997,0.12835693
2020,ssp245,30.5,-118.125,0.22225952
2020,ssp245,30.5,-116.87499999999997,0.33969116
2020,ssp245,30.5,-115.625,0.78448486
2020,ssp245,30.5,-114.375,0.63290405
2020,ssp245,30.5,-113.125,0.61026
2020,ssp245,30.5,-111.875,1.1182251
2020,ssp245,30.5,-110.62500000000003,0.97262573
2020,ssp245,30.5,-109.375,0.9825134
2020,ssp245,30.5,-108.12500000000003,0.96240234
2020,ssp245,30.5,-106.875,0.80407715
2020,ssp245,30.5,-105.62499999999997,0.77301025
2020,ssp245,30.5,-104.375,0.75701904
2020,ssp245,30.5,-103.125,0.9160156
2020,ssp245,30.5,-101.875,1.2238464
2020,ssp245,30.5,-100.625,1.362793
2020,ssp245,30.5,-99.375,1.099823
2020,ssp245,30.5,-98.125,0.6711731
2020,ssp245,30.5,-96.875,0.16369629
2020,ssp245,30.5,-95.625,-0.18829346
2020,ssp245,30.5,-94.375,-0.08621216
2020,ssp245,30.5,-93.125,0.1694336
2020,ssp245,30.5,-91.875,0.36990356
2020,ssp245,30.5,-90.625,0.53881836
2020,ssp245,30.5,-89.375,0.5336914
2020,ssp245,30.5,-88.125,0.6592102
2020,ssp245,30.5,-86.875,0.73379517
2020,ssp245,30.5,-85.625,0.75408936
2020,ssp245,30.5,-84.375,0.66223145
2020,ssp245,30.5,-83.125,0.6657715
2020,ssp245,30.5,-81.875,0.69311523
2020,ssp245,30.5,-80.625,0.81448364
2020,ssp245,30.5,-79.375,0.70599365
2020,ssp245,30.5,-78.125,0.6854553
2020,ssp245,30.5,-76.875,0.6696167
2020,ssp245,30.5,-75.625,0.6569214
2020,ssp245,30.5,-74.375,0.6444702
2020,ssp245,30.5,-73.125,0.69143677
2020,ssp245,30.5,-71.875,0.7246704
2020,ssp245,30.5,-70.625,0.7394409
2020,ssp245,30.5,-69.375,0.7383423
2020,ssp245,30.5,-68.125,0.72006226
2020,ssp245,30.5,-66.875,0.6899719
2020,ssp245,31.5,-124.37499999999997,0.02319336
2020,ssp245,31.5,-123.125,0.13082886
2020,ssp245,31.5,-121.87499999999997,0.16342163
2020,ssp245,31.5,-120.625,0.11468506
2020,ssp245,31.5,-119.37499999999997,0.1423645
2020,ssp245,31.5,-118.125,0.23519897
2020,ssp245,31.5,-116.87499999999997,0.41549683
2020,ssp245,31.5,-115.625,0.73132324
2020,ssp245,31.5,-114.375,0.49569702
2020,ssp245,31.5,-113.125,0.8303833
2020,ssp245,31.5,-111.875,0.9633789
2020,ssp245,31.5,-110.62500000000003,0.8315735
2020,ssp245,31.5,-109.375,0.791626
2020,ssp245,31.5,-108.12500000000003,0.8057251
2020,ssp245,31.5,-106.875,0.70358276
2020,ssp245,31.5,-105.62499999999997,0.6926575
2020,ssp245,31.5,-104.375,0.5220337
2020,ssp245,31.5,-103.125,0.6495056
2020,ssp245,31.5,-101.875,0.8740845
2020,ssp245,31.5,-100.625,1.0004272
2020,ssp245,31.5,-99.375,0.91622925
2020,ssp245,31.5,-98.125,0.5968933
2020,ssp245,31.5,-96.875,0.21774292
2020,ssp245,31.5,-95.625,-0.08514404
2020,ssp245,31.5,-94.375,-0.23370361
2020,ssp245,31.5,-93.125,-0.13034058
2020,ssp245,31.5,-91.875,0.16461182
2020,ssp245,31.5,-90.625,0.4310608
2020,ssp245,31.5,-89.375,0.4130249
2020,ssp245,31.5,-88.125,0.5241089
2020,ssp245,31.5,-86.875,0.5684204
2020,ssp245,31.5,-85.625,0.7139282
2020,ssp245,31.5,-84.375,0.64819336
2020,ssp245,31.5,-83.125,0.5394592
2020,ssp245,31.5,-81.875,0.5492859
2020,ssp245,31.5,-80.625,0.67276
2020,ssp245,31.5,-79.375,0.68460083
2020,ssp245,31.5,-78.125,0.6742554
