state,state_abbr,year,scenario,scenario_label,temp_anomaly,impact_category,impact_score
Maryland,MD,2040,ssp126,Low emissions,1.4898071,Medium impact,2
Massachusetts,MA,2040,ssp126,Low emissions,1.225357,Low impact,1
Michigan,MI,2040,ssp126,Low emissions,1.5959848,Medium impact,2
Minnesota,MN,2040,ssp126,Low emissions,1.617716,Medium impact,2
Mississippi,MS,2040,ssp126,Low emissions,1.7937164,Medium impact,2
Missouri,MO,2040,ssp126,Low emissions,1.698851,Medium impact,2
Montana,MT,2040,ssp126,Low emissions,0.8612326,Low impact,1
Nebraska,NE,2040,ssp126,Low emissions,1.6151141,Medium impact,2
Nevada,NV,2040,ssp126,Low emissions,0.8844058,Low impact,1
New Hampshire,NH,2040,ssp126,Low emissions,1.2520447,Low impact,1
New Jersey,NJ,2040,ssp126,Low emissions,1.1772766,Low impact,1
New Mexico,NM,2040,ssp126,Low emissions,1.3564392,Medium impact,2
New York,NY,2040,ssp126,Low emissions,1.3886414,Medium impact,2
North Carolina,NC,2040,ssp126,Low emissions,1.5007768,Medium impact,2
North Dakota,ND,2040,ssp126,Low emissions,1.2256182,Low impact,1
Ohio,OH,2040,ssp126,Low emissions,1.6335938,Medium impact,2
Oklahoma,OK,2040,ssp126,Low emissions,1.7917997,Medium impact,2
Oregon,OR,2040,ssp126,Low emissions,0.59947896,Low impact,1
Pennsylvania,PA,2040,ssp126,Low emissions,1.4036369,Medium impact,2
Rhode Island,RI,2040,ssp126,Low emissions,1.1253357,Low impact,1
South Carolina,SC,2040,ssp126,Low emissions,1.7125462,Medium impact,2
South Dakota,SD,2040,ssp126,Low emissions,1.4613291,Medium impact,2
Tennessee,TN,2040,ssp126,Low emissions,1.6627059,Medium impact,2
Texas,TX,2040,ssp126,Low emissions,1.7526032,Medium impact,2
Utah,UT,2040,ssp126,Low emissions,1.1429952,Low impact,1
Vermont,VT,2040,ssp126,Low emissions,1.4044291,Medium impact,2
Virginia,VA,2040,ssp126,Low emissions,1.4874344,Medium impact,2
Washington,WA,2040,ssp126,Low emissions,0.9133321,Low impact,1
West Virginia,WV,2040,ssp126,Low emissions,1.5403792,Medium impact,2
Wisconsin,WI,2040,ssp126,Low emissions,1.7348067,Medium impact,2
Wyoming,WY,2040,ssp126,Low emissions,1.14844,Low impact,1
Alabama,AL,2050,ssp126,Low emissions,1.3717065,Medium impact,2
Alaska,AK,2050,ssp126,Low emissions,0.17102443,Low impact,1
Arizona,AZ,2050,ssp126,Low emissions,1.6534729,Medium impact,2
Arkansas,AR,2050,ssp126,Low emissions,1.776181,Medium impact,2
California,CA,2050,ssp126,Low emissions,2.161641,Medium impact,2
Colorado,CO,2050,ssp126,Low emissions,1.8187835,Medium impact,2
Connecticut,CT,2050,ssp126,Low emissions,1.6553345,Medium impact,2
Delaware,DE,2050,ssp126,Low emissions,1.3580322,Medium impact,2
Florida,FL,2050,ssp126,Low emissions,1.0419137,Low impact,1
Georgia,GA,2050,ssp126,Low emissions,1.280426,Low impact,1
Hawaii,HI,2050,ssp126,Low emissions,0.9430084,Low impact,1
Idaho,ID,2050,ssp126,Low emissions,2.8336837,High impact,3
Illinois,IL,2050,ssp126,Low emissions,1.8480399,Medium impact,2
Indiana,IN,2050,ssp126,Low emissions,1.6119919,Medium impact,2
Iowa,IA,2050,ssp126,Low emissions,2.184462,Medium impact,2
Kansas,KS,2050,ssp126,Low emissions,2.5474837,High impact,3
Kentucky,KY,2050,ssp126,Low emissions,1.4120396,Medium impact,2
Louisiana,LA,2050,ssp126,Low emissions,1.296917,Medium impact,2
Maine,ME,2050,ssp126,Low emissions,1.9022996,Medium impact,2
Maryland,MD,2050,ssp126,Low emissions,1.3082479,Medium impact,2
Massachusetts,MA,2050,ssp126,Low emissions,1.8268127,Medium impact,2
Michigan,MI,2050,ssp126,Low emissions,2.0323863,Medium impact,2
Minnesota,MN,2050,ssp126,Low emissions,2.595475,High impact,3
Mississippi,MS,2050,ssp126,Low emissions,1.5274429,Medium impact,2
Missouri,MO,2050,ssp126,Low emissions,2.0596008,Medium impact,2
Montana,MT,2050,ssp126,Low emissions,3.101357,High impact,3
Nebraska,NE,2050,ssp126,Low emissions,2.5756693,High impact,3
Nevada,NV,2050,ssp126,Low emissions,2.5218976,High impact,3
New Hampshire,NH,2050,ssp126,Low emissions,1.9023438,Medium impact,2
New Jersey,NJ,2050,ssp126,Low emissions,1.4519501,Medium impact,2
New Mexico,NM,2050,ssp126,Low emissions,1.1788428,Low impact,1
New York,NY,2050,ssp126,Low emissions,1.8055861,Medium impact,2
North Carolina,NC,2050,ssp126,Low emissions,1.0394176,Low impact,1
North Dakota,ND,2050,ssp126,Low emissions,3.0101426,High impact,3
Ohio,OH,2050,ssp126,Low emissions,1.4992676,Medium impact,2
Oklahoma,OK,2050,ssp126,Low emissions,2.176765,Medium impact,2
Oregon,OR,2050,ssp126,Low emissions,2.6208427,High impact,3
Pennsylvania,PA,2050,ssp126,Low emissions,1.4848022,Medium impact,2
Rhode Island,RI,2050,ssp126,Low emissions,1.6191101,Medium impact,2
South Carolina,SC,2050,ssp126,Low emissions,1.1494097,Low impact,1
South Dakota,SD,2050,ssp126,Low emissions,2.6637354,High impact,3
Tennessee,TN,2050,ssp126,Low emissions,1.3837336,Medium impact,2
Texas,TX,2050,ssp126,Low emissions,1.0970477,Low impact,1
Utah,UT,2050,ssp126,Low emissions,2.205763,Medium impact,2
Vermont,VT,2050,ssp126,Low emissions,1.946055,Medium impact,2
Virginia,VA,2050,ssp126,Low emissions,1.1451874,Low impact,1
Washington,WA,2050,ssp126,Low emissions,2.4416423,High impact,3
West Virginia,WV,2050,ssp126,Low emissions,1.2462724,Low impact,1
Wisconsin,WI,2050,ssp126,Low emissions,2.197185,Medium impact,2
Wyoming,WY,2050,ssp126,Low emissions,2.6392136,High impact,3
Alabama,AL,2060,ssp126,Low emissions,0.49400213,Low impact,1
Alaska,AK,2060,ssp126,Low emissions,1.4630705,Medium impact,2
Arizona,AZ,2060,ssp126,Low emissions,1.7525928,Medium impact,2
Arkansas,AR,2060,ssp126,Low emissions,-0.23312378,Low impact,1
California,CA,2060,ssp126,Low emissions,1.9868487,Medium impact,2
Colorado,CO,2060,ssp126,Low emissions,0.8059143,Low impact,1
Connecticut,CT,2060,ssp126,Low emissions,0.7172241,Low impact,1
Delaware,DE,2060,ssp126,Low emissions,0.3603058,Low impact,1
Florida,FL,2060,ssp126,Low emissions,0.76722497,Low impact,1
Georgia,GA,2060,ssp126,Low emissions,0.51107484,Low impact,1
Hawaii,HI,2060,ssp126,Low emissions,1.1407928,Low impact,1
Idaho,ID,2060,ssp126,Low emissions,1.0671402,Low impact,1
Illinois,IL,2060,ssp126,Low emissions,-0.17587934,Low impact,1
Indiana,IN,2060,ssp126,Low emissions,-0.0743866,Low impact,1
Iowa,IA,2060,ssp126,Low emissions,-0.3266019,Low impact,1
Kansas,KS,2060,ssp126,Low emissions,-0.3649275,Low impact,1
Kentucky,KY,2060,ssp126,Low emissions,0.16486904,Low impact,1
Louisiana,LA,2060,ssp126,Low emissions,0.32315445,Low impact,1
Maine,ME,2060,ssp126,Low emissions,1.0395745,Low impact,1
Maryland,MD,2060,ssp126,Low emissions,0.26427206,Low impact,1
Massachusetts,MA,2060,ssp126,Low emissions,0.7947693,Low impact,1
Michigan,MI,2060,ssp126,Low emissions,-0.0014014611,Low impact,1
Minnesota,MN,2060,ssp126,Low emissions,-0.42430517,Low impact,1
Mississippi,MS,2060,ssp126,Low emissions,0.31717682,Low impact,1
Missouri,MO,2060,ssp126,Low emissions,-0.38783023,Low impact,1
Montana,MT,2060,ssp126,Low emissions,0.19625613,Low impact,1
Nebraska,NE,2060,ssp126,Low emissions,0.12001486,Low impact,1
Nevada,NV,2060,ssp126,Low emissions,1.8020973,Medium impact,2
New Hampshire,NH,2060,ssp126,Low emissions,0.95022583,Low impact,1
New Jersey,NJ,2060,ssp126,Low emissions,0.4373169,Low impact,1
New Mexico,NM,2060,ssp126,Low emissions,0.47984254,Low impact,1
New York,NY,2060,ssp126,Low emissions,0.66674465,Low impact,1
North Carolina,NC,2060,ssp126,Low emissions,0.4267828,Low impact,1
North Dakota,ND,2060,ssp126,Low emissions,-0.33476526,Low impact,1
Ohio,OH,2060,ssp126,Low emissions,-0.013543701,Low impact,1
Oklahoma,OK,2060,ssp126,Low emissions,-0.4266381,Low impact,1
Oregon,OR,2060,ssp126,Low emissions,1.3601352,Medium impact,2
Pennsylvania,PA,2060,ssp126,Low emissions,0.23099518,Low impact,1
Rhode Island,RI,2060,ssp126,Low emissions,0.75982666,Low impact,1
South Carolina,SC,2060,ssp126,Low emissions,0.5840454,Low impact,1
South Dakota,SD,2060,ssp126,Low emissions,0.2446289,Low impact,1
Tennessee,TN,2060,ssp126,Low emissions,0.26678467,Low impact,1
Texas,TX,2060,ssp126,Low emissions,-0.46487427,Low impact,1
Utah,UT,2060,ssp126,Low emissions,1.6683486,Medium impact,2
Vermont,VT,2060,ssp126,Low emissions,1.1001078,Low impact,1
Virginia,VA,2060,ssp126,Low emissions,0.29140472,Low impact,1
Washington,WA,2060,ssp126,Low emissions,0.43073526,Low impact,1
West Virginia,WV,2060,ssp126,Low emissions,0.29690552,Low impact,1
Wisconsin,WI,2060,ssp126,Low emissions,-0.4741756,Low impact,1
Wyoming,WY,2060,ssp126,Low emissions,0.655482,Low impact,1
Alabama,AL,2070,ssp126,Low emissions,1.862955,Medium impact,2
Alaska,AK,2070,ssp126,Low emissions,0.5388623,Low impact,1
Arizona,AZ,2070,ssp126,Low emissions,1.3461175,Medium impact,2
Arkansas,AR,2070,ssp126,Low emissions,1.5340027,Medium impact,2
California,CA,2070,ssp126,Low emissions,1.8036993,Medium impact,2
Colorado,CO,2070,ssp126,Low emissions,0.9882385,Low impact,1
Connecticut,CT,2070,ssp126,Low emissions,2.370926,High impact,3
Delaware,DE,2070,ssp126,Low emissions,2.462799,High impact,3
Florida,FL,2070,ssp126,Low emissions,1.1718771,Low impact,1
Georgia,GA,2070,ssp126,Low emissions,1.77565,Medium impact,2
Hawaii,HI,2070,ssp126,Low emissions,0.6940155,Low impact,1
Idaho,ID,2070,ssp126,Low emissions,1.814093,Medium impact,2
Illinois,IL,2070,ssp126,Low emissions,2.1467307,Medium impact,2
Indiana,IN,2070,ssp126,Low emissions,2.111557,Medium impact,2
Iowa,IA,2070,ssp126,Low emissions,2.1999235,Medium impact,2
Kansas,KS,2070,ssp126,Low emissions,0.98186916,Low impact,1
Kentucky,KY,2070,ssp126,Low emissions,1.918457,Medium impact,2
Louisiana,LA,2070,ssp126,Low emissions,1.5711327,Medium impact,2
Maine,ME,2070,ssp126,Low emissions,2.4929538,High impact,3
Maryland,MD,2070,ssp126,Low emissions,2.3137207,High impact,3
Massachusetts,MA,2070,ssp126,Low emissions,2.4959412,High impact,3
Michigan,MI,2070,ssp126,Low emissions,2.4219384,High impact,3
Minnesota,MN,2070,ssp126,Low emissions,1.9239422,Medium impact,2
Mississippi,MS,2070,ssp126,Low emissions,1.7115211,Medium impact,2
Missouri,MO,2070,ssp126,Low emissions,1.8777947,Medium impact,2
Montana,MT,2070,ssp126,Low emissions,1.5900943,Medium impact,2
Nebraska,NE,2070,ssp126,Low emissions,1.2971227,Medium impact,2
Nevada,NV,2070,ssp126,Low emissions,1.648262,Medium impact,2
New Hampshire,NH,2070,ssp126,Low emissions,2.6169128,High impact,3
New Jersey,NJ,2070,ssp126,Low emissions,2.4743195,High impact,3
New Mexico,NM,2070,ssp126,Low emissions,0.7584607,Low impact,1
New York,NY,2070,ssp126,Low emissions,2.535831,High impact,3
North Carolina,NC,2070,ssp126,Low emissions,1.9662198,Medium impact,2
North Dakota,ND,2070,ssp126,Low emissions,1.5513934,Medium impact,2
Ohio,OH,2070,ssp126,Low emissions,2.2383149,Medium impact,2
Oklahoma,OK,2070,ssp126,Low emissions,0.82762265,Low impact,1
Oregon,OR,2070,ssp126,Low emissions,2.3187075,High impact,3
Pennsylvania,PA,2070,ssp126,Low emissions,2.4562721,High impact,3
Rhode Island,RI,2070,ssp126,Low emissions,2.2931213,Medium impact,2
South Carolina,SC,2070,ssp126,Low emissions,1.8908212,Medium impact,2
South Dakota,SD,2070,ssp126,Low emissions,1.2748464,Low impact,1
Tennessee,TN,2070,ssp126,Low emissions,1.85356,Medium impact,2
Texas,TX,2070,ssp126,Low emissions,0.92196655,Low impact,1
Utah,UT,2070,ssp126,Low emissions,1.4690925,Medium impact,2
Vermont,VT,2070,ssp126,Low emissions,2.641988,High impact,3
Virginia,VA,2070,ssp126,Low emissions,2.0391846,Medium impact,2
Washington,WA,2070,ssp126,Low emissions,2.392159,High impact,3
West Virginia,WV,2070,ssp126,Low emissions,2.1426523,Medium impact,2
Wisconsin,WI,2070,ssp126,Low emissions,2.3773434,High impact,3
Wyoming,WY,2070,ssp126,Low emissions,1.2379621,Low impact,1
Alabama,AL,2080,ssp126,Low emissions,2.302434,High impact,3
Alaska,AK,2080,ssp126,Low emissions,2.7594414,High impact,3
Arizona,AZ,2080,ssp126,Low emissions,0.92437625,Low impact,1
Arkansas,AR,2080,ssp126,Low emissions,2.7402253,High impact,3
California,CA,2080,ssp126,Low emissions,0.41224402,Low impact,1
Colorado,CO,2080,ssp126,Low emissions,1.8889297,Medium impact,2
Connecticut,CT,2080,ssp126,Low emissions,1.3923645,Medium impact,2
Delaware,DE,2080,ssp126,Low emissions,1.7902832,Medium impact,2
Florida,FL,2080,ssp126,Low emissions,1.5763419,Medium impact,2
Georgia,GA,2080,ssp126,Low emissions,2.302426,High impact,3
Hawaii,HI,2080,ssp126,Low emissions,0.32136536,Low impact,1
Idaho,ID,2080,ssp126,Low emissions,1.3749634,Medium impact,2
Illinois,IL,2080,ssp126,Low emissions,2.4538248,High impact,3
Indiana,IN,2080,ssp126,Low emissions,2.3390236,High impact,3
Iowa,IA,2080,ssp126,Low emissions,2.4975114,High impact,3
Kansas,KS,2080,ssp126,Low emissions,2.2099202,Medium impact,2
Kentucky,KY,2080,ssp126,Low emissions,2.3592355,High impact,3
Louisiana,LA,2080,ssp126,Low emissions,2.207737,Medium impact,2
Maine,ME,2080,ssp126,Low emissions,1.1055331,Low impact,1
Maryland,MD,2080,ssp126,Low emissions,1.9581503,Medium impact,2
Massachusetts,MA,2080,ssp126,Low emissions,1.409256,Medium impact,2
Michigan,MI,2080,ssp126,Low emissions,2.2569745,Medium impact,2
Minnesota,MN,2080,ssp126,Low emissions,2.5401082,High impact,3
